Date,Region,Category,Units_Sold,Revenue
2024-01-06,South,Furniture,5,781.6
2024-01-06,South,Toys,9,721.77
2024-01-06,East,Electronics,6,697.6
2024-01-06,East,Clothing,5,602.38
2024-01-06,East,Groceries,7,519.65
2024-01-06,East,Furniture,6,253.0
2024-01-06,East,Toys,4,527.16
2024-01-06,West,Electronics,7,770.32
2024-01-06,West,Clothing,14,543.36
2024-01-06,West,Groceries,8,548.68
2024-01-06,West,Furniture,7,830.37
2024-01-06,West,Toys,10,700.44
2024-01-07,North,Electronics,11,737.22
2024-01-07,North,Clothing,8,933.31
2024-01-07,North,Groceries,9,741.66
2024-01-07,North,Furniture,6,396.35
2024-01-07,North,Toys,9,438.61
2024-01-07,South,Electronics,4,620.69
2024-01-07,South,Clothing,6,902.42
2024-01-07,South,Groceries,7,588.44
2024-01-07,South,Furniture,12,577.91
2024-01-07,South,Toys,8,632.4
2024-01-07,East,Electronics,13,647.3
2024-01-07,East,Clothing,8,506.38
2024-01-07,East,Groceries,7,862.73
2024-01-07,East,Furniture,9,648.47
2024-01-07,East,Toys,6,693.64
2024-01-07,West,Electronics,9,605.37
2024-01-07,West,Clothing,9,525.37
2024-01-07,West,Groceries,11,818.54
2024-01-07,West,Furniture,9,649.88
2024-01-07,West,Toys,6,561.84
2024-01-08,North,Electronics,8,335.67
2024-01-08,North,Clothing,6,702.01
2024-01-08,North,Groceries,11,541.21
2024-01-08,North,Furniture,8,333.96
2024-01-08,North,Toys,9,492.79
2024-01-08,South,Electronics,6,389.02
2024-01-08,South,Clothing,12,321.94
2024-01-08,South,Groceries,8,667.68
2024-01-08,South,Furniture,9,596.91
2024-01-08,South,Toys,2,660.14
2024-01-08,East,Electronics,7,594.63
2024-01-08,East,Clothing,4,606.73
2024-01-08,East,Groceries,5,557.64
2024-01-08,East,Furniture,9,530.62
2024-01-08,East,Toys,6,333.47
2024-01-08,West,Electronics,4,419.14
2024-01-08,West,Clothing,6,463.23
2024-01-08,West,Groceries,12,647.17
2024-01-08,West,Furniture,9,619.75
2024-01-08,West,Toys,3,343.92
2024-01-09,North,Electronics,7,306.55
2024-01-09,North,Clothing,5,365.3
2024-01-09,North,Groceries,12,490.15
2024-01-09,North,Furniture,9,398.76
2024-01-09,North,Toys,14,627.09
2024-01-09,South,Electronics,6,481.38
2024-01-09,South,Clothing,11,502.66
2024-01-09,South,Groceries,9,552.89
2024-01-09,South,Furniture,2,585.78
2024-01-09,South,Toys,9,734.5
2024-01-09,East,Electronics,4,496.5
2024-01-09,East,Clothing,7,626.76
2024-01-09,East,Groceries,6,774.99
2024-01-09,East,Furniture,7,546.07
2024-01-09,East,Toys,12,644.05
2024-01-09,West,Electronics,2,652.08
2024-01-09,West,Clothing,10,430.19
2024-01-09,West,Groceries,11,236.8
2024-01-09,West,Furniture,7,380.93
2024-01-09,West,Toys,3,398.0
2024-01-10,North,Electronics,7,260.79
2024-01-10,North,Clothing,10,324.24
2024-01-10,North,Groceries,9,404.98
2024-01-10,North,Furniture,9,404.78
2024-01-10,North,Toys,5,527.15
2024-01-10,South,Electronics,9,549.33
2024-01-10,South,Clothing,10,676.96
2024-01-10,South,Groceries,13,420.14
2024-01-10,South,Furniture,10,518.54
2024-01-10,South,Toys,6,448.59
2024-01-10,East,Electronics,10,703.5
2024-01-10,East,Clothing,8,451.42
2024-01-10,East,Groceries,12,365.79
2024-01-10,East,Furniture,9,236.33
2024-01-10,East,Toys,12,534.8
2024-01-10,West,Electronics,7,478.2
2024-01-10,West,Clothing,8,566.17
2024-01-10,West,Groceries,3,531.32
2024-01-10,West,Furniture,9,495.62
2024-01-10,West,Toys,7,346.61
2024-01-11,North,Electronics,12,379.91
2024-01-11,North,Clothing,9,623.87
2024-01-11,North,Groceries,6,579.94
2024-01-11,North,Furniture,7,577.14
2024-01-11,North,Toys,8,434.24
2024-01-11,South,Electronics,11,427.43
2024-01-11,South,Clothing,4,551.35
2024-01-11,South,Groceries,6,368.99
2024-01-11,South,Furniture,6,708.14
2024-01-11,South,Toys,6,512.09
2024-01-11,East,Electronics,3,504.16
2024-01-11,East,Clothing,6,467.39
2024-01-11,East,Groceries,12,439.53
2024-01-11,East,Furniture,8,577.69
2024-01-11,East,Toys,7,785.54
2024-01-11,West,Electronics,5,791.37
2024-01-11,West,Clothing,3,493.51
2024-01-11,West,Groceries,12,464.55
2024-01-11,West,Furniture,8,463.77
2024-01-11,West,Toys,9,245.29
2024-01-12,North,Electronics,6,749.44
2024-01-12,North,Clothing,11,724.03
2024-01-12,North,Groceries,12,563.68
2024-01-12,North,Furniture,9,630.74
2024-01-12,North,Toys,7,525.39
2024-01-12,South,Electronics,5,176.46
2024-01-12,South,Clothing,5,676.65
2024-01-12,South,Groceries,8,540.7
2024-01-12,South,Furniture,7,477.19
2024-01-12,South,Toys,5,387.71
2024-01-12,East,Electronics,11,698.77
2024-01-12,East,Clothing,10,427.84
2024-01-12,East,Groceries,5,601.5
2024-01-12,East,Furniture,1,440.88
2024-01-12,East,Toys,4,387.3
2024-01-12,West,Electronics,10,557.42
2024-01-12,West,Clothing,3,225.01
2024-01-12,West,Groceries,9,456.8
2024-01-12,West,Furniture,5,553.58
2024-01-12,West,Toys,11,606.85
2024-01-13,North,Electronics,7,434.41
2024-01-13,North,Clothing,5,666.84
2024-01-13,North,Groceries,5,728.24
2024-01-13,North,Furniture,8,548.36
2024-01-13,North,Toys,5,581.47
2024-01-13,South,Electronics,2,808.97
2024-01-13,South,Clothing,6,672.73
2024-01-13,South,Groceries,10,612.48
2024-01-13,South,Furniture,11,584.37
2024-01-13,South,Toys,4,631.88
2024-01-13,East,Electronics,8,489.05
2024-01-13,East,Clothing,4,513.06
2024-01-13,East,Groceries,11,755.09
2024-01-13,East,Furniture,14,612.38
2024-01-13,East,Toys,2,831.11
2024-01-13,West,Electronics,8,572.61
2024-01-13,West,Clothing,7,935.51
2024-01-13,West,Groceries,11,713.76
2024-01-13,West,Furniture,2,567.49
2024-01-13,West,Toys,14,496.44
2024-01-14,North,Electronics,6,498.31
2024-01-14,North,Clothing,11,628.73
2024-01-14,North,Groceries,5,606.59
2024-01-14,North,Furniture,11,237.94
2024-01-14,North,Toys,8,795.33
2024-01-14,South,Electronics,12,445.94
2024-01-14,South,Clothing,13,709.17
2024-01-14,South,Groceries,5,858.88
2024-01-14,South,Furniture,9,717.47
2024-01-14,South,Toys,7,770.75
2024-01-14,East,Electronics,6,559.42
2024-01-14,East,Clothing,7,857.9
2024-01-14,East,Groceries,8,547.91
2024-01-14,East,Furniture,6,386.52
2024-01-14,East,Toys,8,561.85
2024-01-14,West,Electronics,7,525.86
2024-01-14,West,Clothing,6,817.64
2024-01-14,West,Groceries,9,874.24
2024-01-14,West,Furniture,6,923.94
2024-01-14,West,Toys,4,810.34
2024-01-15,North,Electronics,5,545.9
2024-01-15,North,Clothing,8,409.8
2024-01-15,North,Groceries,6,491.33
2024-01-15,North,Furniture,11,462.11
2024-01-15,North,Toys,11,738.48
2024-01-15,South,Electronics,4,721.3
2024-01-15,South,Clothing,8,345.49
2024-01-15,South,Groceries,8,503.5
2024-01-15,South,Furniture,11,232.21
2024-01-15,South,Toys,12,607.69
2024-01-15,East,Electronics,1,489.28
2024-01-15,East,Clothing,4,402.47
2024-01-15,East,Groceries,6,445.95
2024-01-15,East,Furniture,10,551.02
2024-01-15,East,Toys,6,669.6
2024-01-15,West,Electronics,6,526.21
2024-01-15,West,Clothing,6,561.0
2024-01-15,West,Groceries,10,389.89
2024-01-15,West,Furniture,7,559.77
2024-01-15,West,Toys,6,604.12
2024-01-16,North,Electronics,5,681.66
2024-01-16,North,Clothing,10,684.45
2024-01-16,North,Groceries,13,364.27
2024-01-16,North,Furniture,7,607.67
2024-01-16,North,Toys,9,688.43
2024-01-16,South,Electronics,8,485.26
2024-01-16,South,Clothing,2,436.45
2024-01-16,South,Groceries,7,306.9
2024-01-16,South,Furniture,9,362.12
2024-01-16,South,Toys,5,534.12
2024-01-16,East,Electronics,4,403.83
2024-01-16,East,Clothing,15,589.48
2024-01-16,East,Groceries,8,618.97
2024-01-16,East,Furniture,9,688.04
2024-01-16,East,Toys,13,461.92
2024-01-16,West,Electronics,7,755.49
2024-01-16,West,Clothing,10,448.4
2024-01-16,West,Groceries,7,464.64
2024-01-16,West,Furniture,7,436.34
2024-01-16,West,Toys,6,336.03
2024-01-17,North,Electronics,6,509.7
2024-01-17,North,Clothing,7,531.12
2024-01-17,North,Groceries,10,729.24
2024-01-17,North,Furniture,11,426.07
2024-01-17,North,Toys,9,469.53
2024-01-17,South,Electronics,5,611.93
2024-01-17,South,Clothing,9,474.74
2024-01-17,South,Groceries,6,547.84
2024-01-17,South,Furniture,7,517.12
2024-01-17,South,Toys,8,672.58
2024-01-17,East,Electronics,4,670.1
2024-01-17,East,Clothing,5,444.88
2024-01-17,East,Groceries,3,507.33
2024-01-17,East,Furniture,7,454.41
2024-01-17,East,Toys,5,466.19
2024-01-17,West,Electronics,8,617.3
2024-01-17,West,Clothing,8,388.97
2024-01-17,West,Groceries,7,722.96
2024-01-17,West,Furniture,4,684.86
2024-01-17,West,Toys,11,383.02
2024-01-18,North,Electronics,9,539.86
2024-01-18,North,Clothing,9,316.79
2024-01-18,North,Groceries,11,581.98
2024-01-18,North,Furniture,7,393.34
2024-01-18,North,Toys,9,517.21
2024-01-18,South,Electronics,4,783.87
2024-01-18,South,Clothing,9,550.89
2024-01-18,South,Groceries,10,368.86
2024-01-18,South,Furniture,7,447.06
2024-01-18,South,Toys,7,706.41
2024-01-18,East,Electronics,8,525.42
2024-01-18,East,Clothing,5,634.97
2024-01-18,East,Groceries,16,360.65
2024-01-18,East,Furniture,11,439.33
2024-01-18,East,Toys,9,724.36
2024-01-18,West,Electronics,7,403.13
2024-01-18,West,Clothing,6,490.46
2024-01-18,West,Groceries,6,410.04
2024-01-18,West,Furniture,3,443.01
2024-01-18,West,Toys,3,504.47
2024-01-19,North,Electronics,7,525.33
2024-01-19,North,Clothing,9,409.27
2024-01-19,North,Groceries,6,598.02
2024-01-19,North,Furniture,8,331.24
2024-01-19,North,Toys,8,735.58
2024-01-19,South,Electronics,9,475.05
2024-01-19,South,Clothing,11,685.67
2024-01-19,South,Groceries,4,831.78
2024-01-19,South,Furniture,9,603.53
2024-01-19,South,Toys,10,340.38
2024-01-19,East,Electronics,8,444.67
2024-01-19,East,Clothing,5,350.32
2024-01-19,East,Groceries,6,547.54
2024-01-19,East,Furniture,13,407.63
2024-01-19,East,Toys,8,336.64
2024-01-19,West,Electronics,8,331.63
2024-01-19,West,Clothing,7,397.67
2024-01-19,West,Groceries,6,577.01
2024-01-19,West,Furniture,11,522.5
2024-01-19,West,Toys,10,487.04
2024-01-20,North,Electronics,7,813.91
2024-01-20,North,Clothing,5,554.65
2024-01-20,North,Groceries,11,702.05
2024-01-20,North,Furniture,5,617.57
2024-01-20,North,Toys,10,404.07
2024-01-20,South,Electronics,8,970.95
2024-01-20,South,Clothing,10,382.25
2024-01-20,South,Groceries,6,361.11
2024-01-20,South,Furniture,10,850.04
2024-01-20,South,Toys,8,879.21
2024-01-20,East,Electronics,7,699.17
2024-01-20,East,Clothing,9,831.8
2024-01-20,East,Groceries,7,532.2
2024-01-20,East,Furniture,11,694.67
2024-01-20,East,Toys,7,894.72
2024-01-20,West,Electronics,5,752.95
2024-01-20,West,Clothing,7,648.7
2024-01-20,West,Groceries,6,491.73
2024-01-20,West,Furniture,5,832.21
2024-01-20,West,Toys,8,759.31
2024-01-21,North,Electronics,5,696.64
2024-01-21,North,Clothing,7,969.36
2024-01-21,North,Groceries,10,700.41
2024-01-21,North,Furniture,11,1025.01
2024-01-21,North,Toys,8,720.77
2024-01-21,South,Electronics,11,477.63
2024-01-21,South,Clothing,6,1053.14
2024-01-21,South,Groceries,10,721.31
2024-01-21,South,Furniture,6,381.19
2024-01-21,South,Toys,7,745.75
2024-01-21,East,Electronics,8,864.13
2024-01-21,East,Clothing,5,716.24
2024-01-21,East,Groceries,7,466.49
2024-01-21,East,Furniture,11,587.33
2024-01-21,East,Toys,9,620.87
2024-01-21,West,Electronics,12,538.78
2024-01-21,West,Clothing,12,641.86
2024-01-21,West,Groceries,5,345.14
2024-01-21,West,Furniture,12,638.45
2024-01-21,West,Toys,12,749.31
2024-01-22,North,Electronics,7,411.67
2024-01-22,North,Clothing,11,645.58
2024-01-22,North,Groceries,8,543.91
2024-01-22,North,Furniture,5,470.37
2024-01-22,North,Toys,9,408.61
2024-01-22,South,Electronics,10,579.68
2024-01-22,South,Clothing,8,206.25
2024-01-22,South,Groceries,8,438.58
2024-01-22,South,Furniture,6,196.14
2024-01-22,South,Toys,6,523.27
2024-01-22,East,Electronics,10,512.69
2024-01-22,East,Clothing,4,459.1
2024-01-22,East,Groceries,5,467.23
2024-01-22,East,Furniture,6,375.81
2024-01-22,East,Toys,6,439.58
2024-01-22,West,Electronics,7,442.98
2024-01-22,West,Clothing,7,443.84
2024-01-22,West,Groceries,8,428.73
2024-01-22,West,Furniture,5,408.16
2024-01-22,West,Toys,12,513.14
2024-01-23,North,Electronics,6,558.77
2024-01-23,North,Clothing,9,277.86
2024-01-23,North,Groceries,4,480.88
2024-01-23,North,Furniture,4,498.31
2024-01-23,North,Toys,10,322.89
2024-01-23,South,Electronics,10,487.63
2024-01-23,South,Clothing,14,658.55
2024-01-23,South,Groceries,11,421.64
2024-01-23,South,Furniture,11,576.02
2024-01-23,South,Toys,5,335.73
2024-01-23,East,Electronics,10,713.03
2024-01-23,East,Clothing,9,617.0
2024-01-23,East,Groceries,7,427.75
2024-01-23,East,Furniture,11,500.27
2024-01-23,East,Toys,12,794.94
2024-01-23,West,Electronics,6,633.73
2024-01-23,West,Clothing,8,404.64
2024-01-23,West,Groceries,6,870.21
2024-01-23,West,Furniture,5,705.0
2024-01-23,West,Toys,5,444.15
2024-01-24,North,Electronics,6,593.99
2024-01-24,North,Clothing,9,499.31
2024-01-24,North,Groceries,9,339.18
2024-01-24,North,Furniture,6,165.89
2024-01-24,North,Toys,11,465.23
2024-01-24,South,Electronics,9,404.93
2024-01-24,South,Clothing,7,292.31
2024-01-24,South,Groceries,12,460.79
2024-01-24,South,Furniture,9,448.35
2024-01-24,South,Toys,13,549.38
2024-01-24,East,Electronics,4,655.16
2024-01-24,East,Clothing,7,491.9
2024-01-24,East,Groceries,3,489.13
2024-01-24,East,Furniture,13,212.45
2024-01-24,East,Toys,9,403.11
2024-01-24,West,Electronics,7,429.65
2024-01-24,West,Clothing,9,604.13
2024-01-24,West,Groceries,3,531.62
2024-01-24,West,Furniture,4,539.41
2024-01-24,West,Toys,15,378.77
2024-01-25,North,Electronics,5,372.51
2024-01-25,North,Clothing,8,446.48
2024-01-25,North,Groceries,9,549.69
2024-01-25,North,Furniture,12,472.18
2024-01-25,North,Toys,9,712.09
2024-01-25,South,Electronics,11,450.61
2024-01-25,South,Clothing,11,678.33
2024-01-25,South,Groceries,4,463.91
2024-01-25,South,Furniture,10,406.04
2024-01-25,South,Toys,5,488.72
2024-01-25,East,Electronics,6,273.71
2024-01-25,East,Clothing,7,565.51
2024-01-25,East,Groceries,9,350.33
2024-01-25,East,Furniture,12,458.09
2024-01-25,East,Toys,9,497.27
2024-01-25,West,Electronics,7,494.83
2024-01-25,West,Clothing,10,446.35
2024-01-25,West,Groceries,6,655.04
2024-01-25,West,Furniture,6,176.57
2024-01-25,West,Toys,8,815.36
2024-01-26,North,Electronics,7,681.59
2024-01-26,North,Clothing,11,318.53
2024-01-26,North,Groceries,8,671.69
2024-01-26,North,Furniture,8,642.78
2024-01-26,North,Toys,11,522.66
2024-01-26,South,Electronics,7,414.19
2024-01-26,South,Clothing,5,408.47
2024-01-26,South,Groceries,5,481.19
2024-01-26,South,Furniture,7,266.89
2024-01-26,South,Toys,9,644.68
2024-01-26,East,Electronics,7,620.69
2024-01-26,East,Clothing,7,619.87
2024-01-26,East,Groceries,7,593.13
2024-01-26,East,Furniture,10,531.48
2024-01-26,East,Toys,6,415.96
2024-01-26,West,Electronics,6,484.24
2024-01-26,West,Clothing,9,791.7
2024-01-26,West,Groceries,11,366.87
2024-01-26,West,Furniture,9,341.68
2024-01-26,West,Toys,7,302.63
2024-01-27,North,Electronics,5,856.14
2024-01-27,North,Clothing,11,423.28
2024-01-27,North,Groceries,9,552.64
2024-01-27,North,Furniture,3,670.33
2024-01-27,North,Toys,7,853.27
2024-01-27,South,Electronics,12,522.87
2024-01-27,South,Clothing,10,478.98
2024-01-27,South,Groceries,4,703.86
2024-01-27,South,Furniture,9,664.27
2024-01-27,South,Toys,12,999.71
2024-01-27,East,Electronics,9,583.1
2024-01-27,East,Clothing,6,1242.69
2024-01-27,East,Groceries,8,582.46
2024-01-27,East,Furniture,8,1087.39
2024-01-27,East,Toys,6,1012.95
2024-01-27,West,Electronics,6,467.25
2024-01-27,West,Clothing,8,808.92
2024-01-27,West,Groceries,12,729.7
2024-01-27,West,Furniture,4,823.8
2024-01-27,West,Toys,8,896.33
2024-01-28,North,Electronics,9,944.04
2024-01-28,North,Clothing,10,631.59
2024-01-28,North,Groceries,7,662.84
2024-01-28,North,Furniture,8,653.57
2024-01-28,North,Toys,15,584.09
2024-01-28,South,Electronics,7,490.1
2024-01-28,South,Clothing,9,786.61
2024-01-28,South,Groceries,5,379.38
2024-01-28,South,Furniture,7,613.07
2024-01-28,South,Toys,11,516.87
2024-01-28,East,Electronics,7,598.71
2024-01-28,East,Clothing,8,831.25
2024-01-28,East,Groceries,6,575.16
2024-01-28,East,Furniture,5,414.73
2024-01-28,East,Toys,6,570.15
2024-01-28,West,Electronics,6,407.47
2024-01-28,West,Clothing,6,378.44
2024-01-28,West,Groceries,9,775.76
2024-01-28,West,Furniture,6,765.87
2024-01-28,West,Toys,7,536.01
2024-01-29,North,Electronics,7,595.49
2024-01-29,North,Clothing,12,674.22
2024-01-29,North,Groceries,6,348.94
2024-01-29,North,Furniture,10,648.44
2024-01-29,North,Toys,8,529.07
2024-01-29,South,Electronics,11,409.75
2024-01-29,South,Clothing,10,474.16
2024-01-29,South,Groceries,11,568.82
2024-01-29,South,Furniture,7,418.83
2024-01-29,South,Toys,6,402.75
2024-01-29,East,Electronics,9,228.46
2024-01-29,East,Clothing,9,454.08
2024-01-29,East,Groceries,10,389.68
2024-01-29,East,Furniture,9,315.13
2024-01-29,East,Toys,9,451.56
2024-01-29,West,Electronics,8,724.02
2024-01-29,West,Clothing,10,437.41
2024-01-29,West,Groceries,13,381.97
2024-01-29,West,Furniture,3,296.56
2024-01-29,West,Toys,9,550.89
2024-01-30,North,Electronics,8,516.43
2024-01-30,North,Clothing,12,511.59
2024-01-30,North,Groceries,8,547.8
2024-01-30,North,Furniture,4,493.42
2024-01-30,North,Toys,12,508.0
2024-01-30,South,Electronics,5,657.8
2024-01-30,South,Clothing,4,561.75
2024-01-30,South,Groceries,9,461.78
2024-01-30,South,Furniture,5,390.55
2024-01-30,South,Toys,6,516.52
2024-01-30,East,Electronics,5,374.34
2024-01-30,East,Clothing,10,406.33
2024-01-30,East,Groceries,6,443.99
2024-01-30,East,Furniture,9,173.91
2024-01-30,East,Toys,6,559.73
2024-01-30,West,Electronics,7,417.77
2024-01-30,West,Clothing,11,542.14
2024-01-30,West,Groceries,13,397.0
2024-01-30,West,Furniture,9,347.73
2024-01-30,West,Toys,5,374.83
2024-01-31,North,Electronics,8,515.65
2024-01-31,North,Clothing,10,692.3
2024-01-31,North,Groceries,10,619.58
2024-01-31,North,Furniture,8,331.4
2024-01-31,North,Toys,6,855.25
2024-01-31,South,Electronics,4,293.35
2024-01-31,South,Clothing,10,417.11
2024-01-31,South,Groceries,8,429.17
2024-01-31,South,Furniture,7,541.92
2024-01-31,South,Toys,11,523.74
2024-01-31,East,Electronics,7,338.11
2024-01-31,East,Clothing,9,247.52
2024-01-31,East,Groceries,11,430.86
2024-01-31,East,Furniture,10,799.01
2024-01-31,East,Toys,6,316.77
2024-01-31,West,Electronics,8,219.87
2024-01-31,West,Clothing,9,395.9
2024-01-31,West,Groceries,9,454.13
2024-01-31,West,Furniture,6,591.99
2024-01-31,West,Toys,4,401.5
2024-02-01,North,Electronics,8,508.71
2024-02-01,North,Clothing,7,307.43
2024-02-01,North,Groceries,7,548.2
2024-02-01,North,Furniture,8,415.14
2024-02-01,North,Toys,6,425.32
2024-02-01,South,Electronics,10,543.55
2024-02-01,South,Clothing,10,334.82
2024-02-01,South,Groceries,5,283.44
2024-02-01,South,Furniture,7,510.47
2024-02-01,South,Toys,1,405.49
2024-02-01,East,Electronics,7,346.06
2024-02-01,East,Clothing,9,325.0
2024-02-01,East,Groceries,10,508.24
2024-02-01,East,Furniture,6,267.78
2024-02-01,East,Toys,11,209.25
2024-02-01,West,Electronics,5,94.29
2024-02-01,West,Clothing,8,426.48
2024-02-01,West,Groceries,6,245.39
2024-02-01,West,Furniture,3,422.17
2024-02-01,West,Toys,4,362.55
2024-02-02,North,Electronics,11,360.59
2024-02-02,North,Clothing,7,455.09
2024-02-02,North,Groceries,11,319.89
2024-02-02,North,Furniture,10,386.88
2024-02-02,North,Toys,8,515.39
2024-02-02,South,Electronics,9,410.29
2024-02-02,South,Clothing,10,444.76
2024-02-02,South,Groceries,7,515.79
2024-02-02,South,Furniture,7,337.54
2024-02-02,South,Toys,11,363.81
2024-02-02,East,Electronics,8,406.44
2024-02-02,East,Clothing,7,419.3
2024-02-02,East,Groceries,4,406.32
2024-02-02,East,Furniture,3,394.44
2024-02-02,East,Toys,7,290.05
2024-02-02,West,Electronics,6,158.8
2024-02-02,West,Clothing,8,214.7
2024-02-02,West,Groceries,6,475.53
2024-02-02,West,Furniture,6,392.59
2024-02-02,West,Toys,8,396.45
2024-02-03,North,Electronics,8,516.42
2024-02-03,North,Clothing,12,318.32
2024-02-03,North,Groceries,12,876.91
2024-02-03,North,Furniture,7,462.29
2024-02-03,North,Toys,7,797.3
2024-02-03,South,Electronics,6,237.45
2024-02-03,South,Clothing,8,372.35
2024-02-03,South,Groceries,8,633.48
2024-02-03,South,Furniture,8,550.22
2024-02-03,South,Toys,4,332.35
2024-02-03,East,Electronics,7,435.84
2024-02-03,East,Clothing,9,399.3
2024-02-03,East,Groceries,9,255.35
2024-02-03,East,Furniture,7,381.86
2024-02-03,East,Toys,11,387.07
2024-02-03,West,Electronics,9,137.99
2024-02-03,West,Clothing,6,507.11
2024-02-03,West,Groceries,9,535.49
2024-02-03,West,Furniture,9,368.19
2024-02-03,West,Toys,9,493.84
2024-02-04,North,Electronics,10,871.16
2024-02-04,North,Clothing,5,459.14
2024-02-04,North,Groceries,4,577.48
2024-02-04,North,Furniture,10,670.29
2024-02-04,North,Toys,8,323.08
2024-02-04,South,Electronics,10,590.0
2024-02-04,South,Clothing,10,779.01
2024-02-04,South,Groceries,3,497.64
2024-02-04,South,Furniture,6,334.05
2024-02-04,South,Toys,11,389.5
2024-02-04,East,Electronics,11,762.15
2024-02-04,East,Clothing,9,699.35
2024-02-04,East,Groceries,10,450.85
2024-02-04,East,Furniture,7,257.8
2024-02-04,East,Toys,6,395.45
2024-02-04,West,Electronics,5,649.55
2024-02-04,West,Clothing,7,507.23
2024-02-04,West,Groceries,7,391.44
2024-02-04,West,Furniture,9,532.94
2024-02-04,West,Toys,7,315.67
2024-02-05,North,Electronics,5,557.25
2024-02-05,North,Clothing,6,314.39
2024-02-05,North,Groceries,2,438.81
2024-02-05,North,Furniture,5,381.67
